# Time, Reward, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
0.000000000000000000e+00,2.600000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.600000000000000089e-01,2.399825242634750014e-02,5.759580582323399867e+00,-2.399827721492202651e-02,-5.759586531581286195e+00
2.000000000000000000e+00,2.577318691940545525e-01,4.799650537018891605e-02,5.759580706521939319e+00,-4.799655442984405995e-02,-5.759586531581287083e+00
3.000000000000000000e+00,2.551111955742214610e-01,7.199478258511093909e-02,5.759586531581287083e+00,-7.199481577267666244e-02,-5.759582722279824374e+00
4.000000000000000000e+00,2.521479425622882298e-01,9.599305980003297600e-02,5.759586531581287083e+00,-9.599309298759869935e-02,-5.759586531581287083e+00
5.000000000000000000e+00,2.489526760966069840e-01,1.199913370149550129e-01,5.759586531581287083e+00,-1.199913702025207363e-01,-5.759586531581287083e+00
6.000000000000000000e+00,2.454972795173412381e-01,1.439896142298770498e-01,5.759586531581287083e+00,-1.439896366159384711e-01,-5.759583939220259019e+00
7.000000000000000000e+00,2.417717465909693664e-01,1.679878914447990867e-01,5.759586531581287083e+00,-1.679879036856948282e-01,-5.759584096741525272e+00
8.000000000000000000e+00,2.377722416294865693e-01,1.919861686597211237e-01,5.759586531581287083e+00,-1.919861715683438830e-01,-5.759584291835775360e+00
9.000000000000000000e+00,2.334967672812293116e-01,2.159844458746431606e-01,5.759586531581287083e+00,-2.159844399841064633e-01,-5.759584419783018383e+00
1.000000000000000000e+01,2.289438995748294403e-01,2.399827230895651975e-01,5.759586531581287083e+00,-2.399827087622655730e-01,-5.759584506758183231e+00
1.100000000000000000e+01,2.241124735254774181e-01,2.639810003044872344e-01,5.759586531581287083e+00,-2.639809778318514821e-01,-5.759584576700613745e+00
1.200000000000000000e+01,2.190015277768515012e-01,2.879792775194092713e-01,5.759586531581287083e+00,-2.879792470969948504e-01,-5.759584623634414591e+00
1.300000000000000000e+01,2.136103240568326678e-01,3.115412273272982202e-01,5.654867953893348620e+00,-3.115411919991060707e-01,-5.654866776506691117e+00
1.400000000000000000e+01,2.079874149610548839e-01,3.327469821543982964e-01,5.089381158504015623e+00,-3.327469584209216680e-01,-5.089383941235746001e+00
1.500000000000000000e+01,2.023929686931776328e-01,3.518321614987883206e-01,4.580443042653612018e+00,-3.518321485029613505e-01,-4.580445619689524683e+00
1.600000000000000000e+01,1.968492706923556379e-01,3.690088229087393756e-01,4.122398738388252326e+00,-3.690088197846480011e-01,-4.122401107604795278e+00
1.700000000000000000e+01,1.913391275105884581e-01,3.844678181776953196e-01,3.710158864549427449e+00,-3.844678153660130993e-01,-3.710158939527619104e+00
1.800000000000000000e+01,1.876812262110336138e-01,3.983809376249792811e-01,3.339148667348151633e+00,-3.983798848172929730e-01,-3.338896668307175908e+00
1.900000000000000000e+01,1.855173644826346169e-01,4.109027214223112123e-01,3.005228111359668830e+00,-4.109017738953935628e-01,-3.005253378744140225e+00
2.000000000000000000e+01,1.836228095517401515e-01,4.221723268398486772e-01,2.704705300208991137e+00,-4.221714740688004563e-01,-2.704728041617654455e+00
2.100000000000000000e+01,1.820788903247279877e-01,4.323149795170481147e-01,2.434236642527864092e+00,-4.323143367714057383e-01,-2.434287048625263683e+00
2.200000000000000000e+01,1.805866589632591224e-01,4.414433641139242637e-01,2.190812303250272208e+00,-4.414428660930707626e-01,-2.190847037199604497e+00
2.300000000000000000e+01,1.791580781235145858e-01,4.496588978896894906e-01,1.971728106183648688e+00,-4.496583277791846855e-01,-1.971710804667338168e+00
2.400000000000000000e+01,1.778497417525205515e-01,4.570528753948931433e-01,1.774554601248875318e+00,-4.570521878693572515e-01,-1.774526421641417162e+00
2.500000000000000000e+01,1.766645504877661366e-01,4.637074545212700460e-01,1.597098990330455992e+00,-4.637066457081622239e-01,-1.597069881313191386e+00
2.600000000000000000e+01,1.755943737964327789e-01,4.696965756659978730e-01,1.437389074734676031e+00,-4.696956517422795074e-01,-1.437361448188142043e+00
2.700000000000000000e+01,1.746290725585740999e-01,4.750867847637366137e-01,1.293650183457298875e+00,-4.750857539965818166e-01,-1.293624541032554198e+00
2.800000000000000000e+01,1.737587556018291290e-01,4.799379730435280322e-01,1.164285187149934675e+00,-4.799368436634122159e-01,-1.164261520039292508e+00
2.900000000000000000e+01,1.729742782656330802e-01,4.843040423781284631e-01,1.047856640304107190e+00,-4.843028181645947505e-01,-1.047833880283802754e+00
3.000000000000000000e+01,1.722673058487518283e-01,4.882335043804577057e-01,9.430708805590188870e-01,-4.882321834834069674e-01,-9.430476765149282681e-01
3.100000000000000000e+01,1.716302789406505269e-01,4.917700194878157904e-01,8.487636257659435524e-01,-4.917685944505199025e-01,-8.487386321071006545e-01
3.200000000000000000e+01,1.710563536006354801e-01,4.949528820616105884e-01,7.638870177107482951e-01,-4.949513395068390609e-01,-7.638588135166036741e-01
3.300000000000000000e+01,1.705393390316456703e-01,4.978174569253822623e-01,6.874979673052010742e-01,-4.978157758706959757e-01,-6.874647273256535573e-01
3.400000000000000000e+01,1.700736384239186494e-01,5.003955722613249169e-01,6.187476806262326434e-01,-5.003937213727323030e-01,-6.187069204887284402e-01
3.500000000000000000e+01,1.696541946765929565e-01,5.027158731895128296e-01,5.568722227650962919e-01,-5.027138064624862013e-01,-5.568204215409300328e-01
3.600000000000000000e+01,1.692764401705163513e-01,5.048041399386313799e-01,5.011840197884622761e-01,-5.048017898484704613e-01,-5.011160126362173006e-01
3.700000000000000000e+01,1.689362504258951625e-01,5.066835741170609975e-01,4.510642028230986145e-01,-5.066808406657599129e-01,-4.509721961494745357e-01
3.800000000000000000e+01,1.686299013620705112e-01,5.083750562266088346e-01,4.059557062914680436e-01,-5.083717894039437857e-01,-4.058276971641384678e-01
3.900000000000000000e+01,1.683540297787211593e-01,5.098973772422101813e-01,3.653570437443180441e-01,-5.098933494682645895e-01,-3.651744154369992446e-01
4.000000000000000000e+01,1.681055967823379405e-01,5.112674468715557863e-01,3.288167110429452977e-01,-5.112623126781804528e-01,-3.285511703798034144e-01
4.100000000000000000e+01,1.678818547093869351e-01,5.125004811319312514e-01,2.959282224901236824e-01,-5.124937281687147461e-01,-2.955397177282265142e-01
4.200000000000000000e+01,1.676803203756102589e-01,5.136101724202414287e-01,2.663259091944303325e-01,-5.136010917186170088e-01,-2.657672519765435504e-01
4.300000000000000000e+01,1.674987629651384091e-01,5.146088455361506053e-01,2.396815478182146575e-01,-5.145965843288651254e-01,-2.389182264595607896e-01
4.400000000000000000e+01,1.673352130877381327e-01,5.155075997991944714e-01,2.157010231305374892e-01,-5.154913277226267354e-01,-2.147384145027736724e-01
4.500000000000000000e+01,1.671879615049555734e-01,5.163164309617438441e-01,1.941194790118410118e-01,-5.162954785115031475e-01,-1.929961893303519249e-01
4.600000000000000000e+01,1.670554750920646703e-01,5.170443346077793212e-01,1.746968750485145550e-01,-5.170181660225077191e-01,-1.734450026410847556e-01
4.700000000000000000e+01,1.669362986860581932e-01,5.176994057571637775e-01,1.572170758522579703e-01,-5.176675849442639032e-01,-1.558605412214838781e-01
4.800000000000000000e+01,1.668290975277645916e-01,5.182889314689799187e-01,1.414861708358803871e-01,-5.182511474278687080e-01,-1.400549960651435166e-01
4.900000000000000000e+01,1.667326901745277146e-01,5.188194694646618421e-01,1.273291189636598097e-01,-5.187755108959801742e-01,-1.258472323467487997e-01
5.000000000000000000e+01,1.666459948253924961e-01,5.192969213898052105e-01,1.145884620344101018e-01,-5.192466607043264570e-01,-1.130759540030963073e-01
5.100000000000000000e+01,1.665680360752723743e-01,5.197265990716063433e-01,1.031226436322844331e-01,-5.196699921597933702e-01,-1.015995493120615267e-01
5.200000000000000000e+01,1.664979422293219324e-01,5.201132821838890807e-01,9.280394694786041343e-02,-5.200503382507237760e-01,-9.128306182330021834e-02
5.300000000000000000e+01,1.664349162763531509e-01,5.204612731209348198e-01,8.351782489098968920e-02,-5.203920644067657753e-01,-8.201427745007135173e-02
5.400000000000000000e+01,1.663782551235206131e-01,5.207744428667014924e-01,7.516073898399266984e-02,-5.206990705753832271e-01,-7.368148046819131269e-02
5.500000000000000000e+01,1.663273099883084416e-01,5.210562763312517331e-01,6.764003149207072074e-02,-5.209748902639035339e-01,-6.619672524487300869e-02
5.600000000000000000e+01,1.662815161317349189e-01,5.213099082417209651e-01,6.087165851262266170e-02,-5.212226607487170371e-01,-5.946491635525299330e-02
5.700000000000000000e+01,1.662403415047240540e-01,5.215381618495525951e-01,5.478086587959841991e-02,-5.214452545626158120e-01,-5.342251533570371858e-02
5.800000000000000000e+01,1.662033404925671309e-01,5.217435745727281304e-01,4.929905356213821338e-02,-5.216451637129044805e-01,-4.797819606927915259e-02
5.900000000000000000e+01,1.661700619450962590e-01,5.219284357282827358e-01,4.436667733309883344e-02,-5.218247850149588807e-01,-4.310911249305817566e-02
6.000000000000000000e+01,1.661401853900718595e-01,5.220947951833481149e-01,3.992626921569637777e-02,-5.219859674109936787e-01,-3.868377504833898223e-02
6.100000000000000000e+01,1.661132695543072746e-01,5.222445173951754116e-01,3.593333083854344245e-02,-5.221309934405802267e-01,-3.480624710076846845e-02
6.200000000000000000e+01,1.660892075482510999e-01,5.223792416363030044e-01,3.233381787063382973e-02,-5.222605531969615189e-01,-3.109434153150065702e-02
6.300000000000000000e+01,1.660673298801845221e-01,5.225005233301556196e-01,2.910760652464075560e-02,-5.223782520893288650e-01,-2.824773416815396301e-02
6.400000000000000000e+01,1.660482267489388208e-01,5.226099641198745926e-01,2.626578953255059162e-02,-5.224928532409202075e-01,-2.750427638192103411e-02
6.500000000000000000e+01,1.660298963253051541e-01,5.227081705640097553e-01,2.356954659244264033e-02,-5.225872718674645645e-01,-2.266047037063666919e-02
6.600000000000000000e+01,1.660142797407102022e-01,5.227968495176320562e-01,2.128294886936551999e-02,-5.226810124848846328e-01,-2.249774818082603267e-02
6.700000000000000000e+01,1.659992724685706023e-01,5.228763084403079686e-01,1.907014144220826185e-02,-5.227542396491142718e-01,-1.757451941512406038e-02
6.800000000000000000e+01,1.659859968230215088e-01,5.229479008774948756e-01,1.718218492486608961e-02,-5.228230368905911751e-01,-1.651133795446998662e-02
6.900000000000000000e+01,1.659754314016008703e-01,5.230126230770568707e-01,1.553332789488614564e-02,-5.228935025652389212e-01,-1.691176191545671822e-02
7.000000000000000000e+01,1.659646852169241182e-01,5.230708615195480693e-01,1.397722619789728768e-02,-5.229566909879111991e-01,-1.516522144135511174e-02
7.100000000000000000e+01,1.659545468236829358e-01,5.231232655828532696e-01,1.257697519326039792e-02,-5.230133499618794257e-01,-1.359815375238289208e-02
7.200000000000000000e+01,1.659452293039098136e-01,5.231700750722564353e-01,1.123427745675730470e-02,-5.230525325083117405e-01,-9.403811143743714615e-03
7.300000000000000000e+01,1.659372105689772836e-01,5.232122654828075259e-01,1.012569853225791031e-02,-5.230907578568988470e-01,-9.174083660909920085e-03
7.400000000000000000e+01,1.659313700063085317e-01,5.232505480658977692e-01,9.187819941655982203e-03,-5.231343716336612770e-01,-1.046730642298044148e-02
7.500000000000000000e+01,1.659252181199323828e-01,5.232849970754241964e-01,8.267762286331246588e-03,-5.231735166105483392e-01,-9.394794452883317368e-03
7.600000000000000000e+01,1.659192062241585108e-01,5.233159963333584574e-01,7.439821904225762950e-03,-5.232086493017978901e-01,-8.431845899899211016e-03
7.700000000000000000e+01,1.659135889091269689e-01,5.233438912330283799e-01,6.694775920792677380e-03,-5.232401794099454939e-01,-7.567225955415345269e-03
7.800000000000000000e+01,1.659084875708402018e-01,5.233689925907655249e-01,6.024325856918580011e-03,-5.232684748589320201e-01,-6.790907756760021508e-03
7.900000000000000000e+01,1.659038903185406366e-01,5.233915801080881725e-01,5.421004157431307674e-03,-5.232938661048321949e-01,-6.093899016052266998e-03
8.000000000000000000e+01,1.658997562089244981e-01,5.234115545996302910e-01,4.793877970114137667e-03,-5.233035458682400165e-01,-2.323143217868249219e-03
8.100000000000000000e+01,1.658962770105488482e-01,5.234296098093143002e-01,4.333250324149914672e-03,-5.233170431791563937e-01,-3.239354619936313066e-03
8.200000000000000000e+01,1.658948693978602451e-01,5.234461677814234992e-01,3.973913306203244108e-03,-5.233382062366537246e-01,-5.079133799357071419e-03
8.300000000000000000e+01,1.658925082411888130e-01,5.234610694382979545e-01,3.576397649874111812e-03,-5.233572411798658175e-01,-4.568386370907192781e-03
8.400000000000000000e+01,1.658899072150297471e-01,5.234744804633723048e-01,3.218646017853263493e-03,-5.233743622716836574e-01,-4.109062036293043355e-03
8.500000000000000000e+01,1.658873557984584524e-01,5.234865499612011419e-01,2.896679478912321786e-03,-5.233897618956492304e-01,-3.695909751739258342e-03
8.600000000000000000e+01,1.658850075170566207e-01,5.234974121208489928e-01,2.606918315482538266e-03,-5.234036130289948519e-01,-3.324272002956168807e-03
8.700000000000000000e+01,1.658828816231780467e-01,5.235071877090187176e-01,2.346141160727883198e-03,-5.234160712592944575e-01,-2.989975271911806624e-03
8.800000000000000000e+01,1.658809657205431720e-01,5.235159854128694779e-01,2.111448924175596438e-03,-5.234272765467611332e-01,-2.689268991989142606e-03
8.900000000000000000e+01,1.658792412266055782e-01,5.235239030482875533e-01,1.900232500329877101e-03,-5.234373547967546836e-01,-2.418779998443687344e-03
9.000000000000000000e+01,1.658776895645671101e-01,5.235310286472486530e-01,1.710143750669205305e-03,-5.234464192713030872e-01,-2.175473891608273140e-03
9.100000000000000000e+01,1.658762935556549190e-01,5.235374414364104556e-01,1.539069398841797160e-03,-5.234545718582245266e-01,-1.956620861142619947e-03
9.200000000000000000e+01,1.658750376271966864e-01,5.235432127178248907e-01,1.385107539476833870e-03,-5.234619042127411914e-01,-1.759765083986957303e-03
9.300000000000000000e+01,1.658739077387030858e-01,5.235484066615631038e-01,1.246546497169615441e-03,-5.234684987845228399e-01,-1.582697227594219609e-03
9.400000000000000000e+01,1.658728912500768149e-01,5.235530810190633932e-01,1.121845800060926150e-03,-5.234744297416877856e-01,-1.423429719593710934e-03
9.500000000000000000e+01,1.658719767867067041e-01,5.235572877651317736e-01,1.009619056404110777e-03,-5.234797638021029265e-01,-1.280174499637982922e-03
9.600000000000000000e+01,1.658711541139992751e-01,5.235610736757306816e-01,9.086185437482653064e-04,-5.234845609812815992e-01,-1.151323002888408366e-03
9.700000000000000000e+01,1.658704140234596724e-01,5.235644808479783530e-01,8.177213394521660149e-04,-5.234888752652440136e-01,-1.035428150966261973e-03
9.800000000000000000e+01,1.658697482299329728e-01,5.235675471681382476e-01,7.359168383638532533e-04,-5.234927552158649133e-01,-9.311881490243485281e-04
9.900000000000000000e+01,1.658691492790760891e-01,5.235703067328004723e-01,6.622955189404015289e-04,-5.234962445154809352e-01,-8.374319078378832364e-04
1.000000000000000000e+02,1.658686104640852144e-01,5.235727902279377899e-01,5.960388329430844206e-04,-5.234993824568474619e-01,-7.531059279615483215e-04
1.010000000000000000e+02,1.658681257507643170e-01,5.235750252700474006e-01,5.364101063090874781e-04,-5.235022043839283601e-01,-6.772624994174838032e-04
1.020000000000000000e+02,1.658676897100987979e-01,5.235770367131729053e-01,4.827463501167675438e-04,-5.235047420884491043e-01,-6.090490849711635308e-04
1.030000000000000000e+02,1.658672974575880754e-01,5.235788469252169453e-01,4.344508905655176684e-04,-5.235070241666505142e-01,-5.476987683429891673e-04
1.040000000000000000e+02,1.658669445986560853e-01,5.235804760366173927e-01,3.909867361058848106e-04,-5.235090763402362457e-01,-4.925216605804720463e-04
1.050000000000000000e+02,1.658666271795324887e-01,5.235819421641505489e-01,3.518706079602654680e-04,-5.235109217451050512e-01,-4.428971685056976612e-04
1.060000000000000000e+02,1.658663416430575244e-01,5.235832616123492489e-01,3.166675677010485739e-04,-5.235125811911000016e-01,-3.982670387991487358e-04
1.070000000000000000e+02,1.658660847889148471e-01,5.235844490547749697e-01,2.849861821677316764e-04,-5.235140733956831216e-01,-3.581290999502362922e-04
1.080000000000000000e+02,1.658658537378517317e-01,5.235855176971582203e-01,2.564741719762919561e-04,-5.235154151941500134e-01,-3.220316320630428218e-04
1.090000000000000000e+02,1.658656458994831884e-01,5.235864794242218734e-01,2.308144952705592405e-04,-5.235166217287400281e-01,-2.895683015976680940e-04
1.100000000000000000e+02,1.658654589433257442e-01,5.235873449318183548e-01,2.077218231571356741e-04,-5.235177066187580719e-01,-2.603736043409961331e-04
1.110000000000000000e+02,1.658652907727331538e-01,5.235881238458502951e-01,1.869393676752594674e-04,-5.235186821136150748e-01,-2.341187656803942071e-04
1.120000000000000000e+02,1.658651395014444363e-01,5.235888248292962510e-01,1.682360270255622554e-04,-5.235195592304995316e-01,-2.105080522714465412e-04
1.130000000000000000e+02,1.658650034324849476e-01,5.235894556785309906e-01,1.514038163339633859e-04,-5.235203478782239905e-01,-1.892754538775629001e-04
1.140000000000000000e+02,1.658648810391803452e-01,5.235900234100118178e-01,1.362555553979750902e-04,-5.235210569686332693e-01,-1.701816982153160922e-04
1.150000000000000000e+02,1.658647709480753907e-01,5.235905343382938337e-01,1.226227876955567498e-04,-5.235216945168225111e-01,-1.530115654200123133e-04
1.160000000000000000e+02,1.658646719235645772e-01,5.235909941462418837e-01,1.103539075430885096e-04,-5.235222677312895145e-01,-1.375714720824198556e-04
1.170000000000000000e+02,1.658645828540642464e-01,5.235914079482192340e-01,9.931247457283589068e-05,-5.235227830950303085e-01,-1.236872977857517695e-04
1.180000000000000000e+02,1.658645027395704852e-01,5.235917803469559706e-01,8.937569680551273510e-05,-5.235232464384879103e-01,-1.112024298341280043e-04
1.190000000000000000e+02,1.658644306804660518e-01,5.235921154847286152e-01,8.043306544281861130e-05,-5.235236630051725015e-01,-9.997600429315814765e-05
1.200000000000000000e+02,1.658643658674472943e-01,5.235924170894211693e-01,7.238512622159333661e-05,-5.235240375106875454e-01,-8.988132359990951188e-05
1.210000000000000000e+02,1.658643075724638427e-01,5.235926885159779554e-01,6.514237364187619493e-05,-5.235243741958254260e-01,-8.080443308465775688e-05
1.220000000000000000e+02,1.658642551405647980e-01,5.235929327837105518e-01,5.862425581741065740e-05,-5.235246768743271328e-01,-7.264284040824118096e-05
1.230000000000000000e+02,1.658642079825642934e-01,5.235931526098723809e-01,5.275827885156087285e-05,-5.235249489758421193e-01,-6.530436360065224196e-05
1.240000000000000000e+02,1.658641655684413019e-01,5.235933504398757599e-01,4.747920081132365539e-05,-5.235251935845703919e-01,-5.870609478244339903e-05
1.250000000000000000e+02,1.658641274214022465e-01,5.235935284744853702e-01,4.272830630174666332e-05,-5.235254134740202625e-01,-5.277346796824437358e-05
1.260000000000000000e+02,1.658640931125391071e-01,5.235936886942921253e-01,3.845275362478131083e-05,-5.235256111382723399e-01,-4.743942049644750782e-05
1.270000000000000000e+02,1.658640622560230427e-01,5.235938328817388854e-01,3.460498722494276811e-05,-5.235257888201002574e-01,-4.264363869644437048e-05
1.280000000000000000e+02,1.658640345047804332e-01,5.235939626409427117e-01,3.114220890603991524e-05,-5.235259485362641074e-01,-3.833187931983359707e-05
1.290000000000000000e+02,1.658640095466026865e-01,5.235940794155341527e-01,2.802590194481998539e-05,-5.235260921002605761e-01,-3.445535916194288409e-05
1.300000000000000000e+02,1.658639871006457323e-01,5.235941845047125121e-01,2.522140280878095724e-05,-5.235262211427855750e-01,-3.097020598929068474e-05
1.310000000000000000e+02,1.658639669142818462e-01,5.235942790776946243e-01,2.269751570187596764e-05,-5.235263371301382973e-01,-2.783696464212464503e-05
1.320000000000000000e+02,1.658639487602666662e-01,5.235943641867182308e-01,2.042616567708948998e-05,-5.235264413807748651e-01,-2.502015277797300948e-05
1.330000000000000000e+02,1.658639324341902865e-01,5.235944407787450627e-01,1.838208644824630502e-05,-5.235265350801967532e-01,-2.248786124307422592e-05
1.340000000000000000e+02,1.658639177521842312e-01,5.235945097059926390e-01,1.654253941793596268e-05,-5.235266192943409669e-01,-2.021139461506884916e-05
1.350000000000000000e+02,1.658639045488591590e-01,5.235945717354127948e-01,1.488706082436423044e-05,-5.235266949816238524e-01,-1.816494788026378255e-05
1.360000000000000000e+02,1.658638926754488763e-01,5.235946275572218589e-01,1.339723417459243423e-05,-5.235267630037722109e-01,-1.632531559368616055e-05
1.370000000000000000e+02,1.658638819981405887e-01,5.235946777925778450e-01,1.205648544475451813e-05,-5.235268241355651719e-01,-1.467163030084483793e-05
1.380000000000000000e+02,1.658638723965732420e-01,5.235947230004893704e-01,1.084989875849266319e-05,-5.235268790735952971e-01,-1.318512723489418016e-05
1.390000000000000000e+02,1.658638637624862411e-01,5.235947636840331265e-01,9.764050509858069124e-06,-5.235269284441481652e-01,-1.184893268378743173e-05
1.400000000000000000e+02,1.658638559985040617e-01,5.235948002959501801e-01,8.786860085827459332e-06,-5.235269728102882603e-01,-1.064787363552356665e-05
1.410000000000000000e+02,1.658638490170420421e-01,5.235948332436813901e-01,7.907455502409232789e-06,-5.235270126782323175e-01,-9.568306565924095510e-06
1.420000000000000000e+02,1.658638427393234749e-01,5.235948628939001148e-01,7.116052505892155576e-06,-5.235270485030799614e-01,-8.597963442633644850e-06
1.430000000000000000e+02,1.658638370944945373e-01,5.235948895765907274e-01,6.403845743609388552e-06,-5.235270806939683608e-01,-7.725813226908461592e-06
1.440000000000000000e+02,1.658638320188272619e-01,5.235949135887192352e-01,5.762910838616478257e-06,-5.235271096187070761e-01,-6.941937296248589090e-06
1.450000000000000000e+02,1.658638274550046643e-01,5.235949351975369703e-01,5.186116257955938715e-06,-5.235271356079462812e-01,-6.237417403558122199e-06
1.460000000000000000e+02,1.658638233514756477e-01,5.235949546435535451e-01,4.667043989576007568e-06,-5.235271589589250985e-01,-5.604234913934869812e-06
1.470000000000000000e+02,1.658638196618754390e-01,5.235949721432126003e-01,4.199918160475221091e-06,-5.235271799388424574e-01,-5.035180174880214572e-06
1.480000000000000000e+02,1.658638163445045888e-01,5.235949878912992128e-01,3.779540790041596022e-06,-5.235271987878883371e-01,-4.523771006757976603e-06
1.490000000000000000e+02,1.658638133618602351e-01,5.235950020631074953e-01,3.401233986014481699e-06,-5.235272157219691413e-01,-4.064179395217542509e-06
1.500000000000000000e+02,1.658638106802131085e-01,5.235950148163903695e-01,3.060787898267722893e-06,-5.235272309351590714e-01,-3.651165571911197835e-06
1.510000000000000000e+02,1.658638082692294735e-01,5.235950262931149402e-01,2.754413902246141500e-06,-5.235272446019036963e-01,-3.280018713556479843e-06
1.520000000000000000e+02,1.658638061016288190e-01,5.235950366210417872e-01,2.478702449905113120e-06,-5.235272568790021452e-01,-2.946503633419396529e-06
1.530000000000000000e+02,1.658638041528767704e-01,5.235950459151466063e-01,2.230585148308586589e-06,-5.235272679073889046e-01,-2.646812816096439908e-06
1.540000000000000000e+02,1.658638024009095602e-01,5.235950542788991857e-01,2.007300623483816397e-06,-5.235272778137359806e-01,-2.377523296907051494e-06
1.550000000000000000e+02,1.658638008258849217e-01,5.235950618054150407e-01,1.806363809418123081e-06,-5.235272867118938578e-01,-2.135557889991765426e-06
1.560000000000000000e+02,1.658637994099591562e-01,5.235950685784912517e-01,1.625538294952885108e-06,-5.235272947041867964e-01,-1.918150299076103296e-06
1.570000000000000000e+02,1.658637981370853498e-01,5.235950746735389405e-01,1.462811450575505974e-06,-5.235273018825774560e-01,-1.722813766353853952e-06
1.580000000000000000e+02,1.658637969928331568e-01,5.235950801584223768e-01,1.316372037260225361e-06,-5.235273083297143915e-01,-1.547312865432738512e-06
